"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season","MVP","First","Share","Team.Wins"
" 99","Baron Davis","PG",20,"CHH",82,0,18.6,2.2,5.3,0.42,0.3,1.4,0.225,1.9,3.9,0.488,0.449,1.2,1.9,0.634,0.6,1.4,2,3.8,1.2,0.2,1.7,2.5,5.9,"2000",FALSE,0,0,49
"102","Emanual Davis","PG",31,"SEA",54,2,13,1.5,4.1,0.364,0.6,1.9,0.301,0.9,2.2,0.419,0.434,0.5,0.7,0.684,0.3,1.6,1.9,1.3,0.7,0.1,0.8,1.3,4,"2000",FALSE,0,0,45
"103","Hubert Davis","PG",29,"DAL",79,15,23,2.7,5.9,0.468,1,2.1,0.491,1.7,3.8,0.455,0.556,0.8,1,0.87,0.2,1.5,1.7,1.8,0.3,0,0.9,1.4,7.4,"2000",FALSE,0,0,40
"105","Ricky Davis","SG",20,"CHH",48,4,11.9,2,3.9,0.503,0,0.1,0,2,3.8,0.514,0.503,0.8,1.1,0.765,0.6,1.1,1.7,1.3,0.6,0.2,1,0.8,4.7,"2000",FALSE,0,0,49
"106","Todd Day","SG",30,"PHO",58,1,16.2,2.2,5.7,0.394,1.1,2.8,0.388,1.1,2.8,0.4,0.491,1.2,1.9,0.667,0.5,1.7,2.2,1.1,0.8,0.4,0.9,2.2,6.8,"2000",FALSE,0,0,53
"108","Vinny Del Negro","PG",33,"MIL",67,0,18.1,2.3,4.9,0.471,0.1,0.4,0.333,2.2,4.5,0.482,0.483,0.5,0.6,0.897,0.1,1.5,1.6,2.4,0.5,0,0.7,1.2,5.2,"2000",FALSE,0,0,42
"109","Tony Delk","PG",26,"SAC",46,1,14.8,2.6,6.1,0.43,0.2,0.9,0.225,2.4,5.2,0.464,0.446,1,1.3,0.797,0.8,1.1,1.9,1.2,0.8,0.1,0.7,1.3,6.4,"2000",FALSE,0,0,44
"111","Michael Dickerson","SG",24,"VAN",82,82,37.8,6.8,15.5,0.436,1.5,3.5,0.409,5.3,11.9,0.444,0.483,3.3,4,0.83,1,2.5,3.4,2.5,1.4,0.5,2,2.8,18.2,"2000",FALSE,0,0,22
"112","Vlade Divac","C",31,"SAC",82,81,29,4.7,9.3,0.503,0.1,0.3,0.269,4.6,9,0.511,0.507,2.8,4.1,0.691,2.1,5.9,8,3,1.3,1.3,2.3,3.1,12.3,"2000",FALSE,0,0,44
"113","Michael Doleac","C",22,"ORL",81,29,16.5,3,6.6,0.452,0,0,0.5,3,6.6,0.452,0.453,1,1.2,0.842,1.1,3,4.1,0.8,0.4,0.4,0.8,2.8,7,"2000",FALSE,0,0,41
"115","Bryce Drew","PG",25,"HOU",72,5,18,2.2,5.7,0.383,0.8,2.3,0.362,1.4,3.5,0.396,0.454,0.6,0.7,0.849,0.3,1.1,1.4,2.3,0.6,0,0.9,1.1,5.8,"2000",FALSE,0,0,34
"117","Tim Duncan","PF",23,"SAS",74,74,38.9,8.5,17.3,0.49,0,0.1,0.091,8.5,17.2,0.494,0.491,6.2,8.1,0.761,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2,"2000",FALSE,0,0.205,53
"118","Howard Eisley","PG",27,"UTA",82,5,25.6,3.4,8.2,0.418,0.7,2,0.368,2.7,6.2,0.434,0.462,1,1.2,0.824,0.3,1.8,2.1,4.2,0.7,0.1,1.6,2.7,8.6,"2000",FALSE,0,0,55
"120","Mario Elie","SF",36,"SAS",79,79,28.1,2.5,5.8,0.427,0.9,2.4,0.398,1.5,3.4,0.446,0.508,1.6,1.9,0.846,0.6,2.5,3.2,2.4,0.9,0.1,1.6,2,7.5,"2000",FALSE,0,0,53
